datetime,dt_ms,battery_40v_v,battery_24v_v,battery_40v_a,battery_24v_a,charger_40v_a,charger_24v_a,mq_ratio,mhmq_ratio
2026-06-08 12:42:07.281,0,0,0,0,0,0,0,0,0
2026-06-08 12:42:07.350,0,0,0,0,0,0,0,0,0
2026-06-08 12:42:07.401,0,0,0,0,0,0,0,0,0
2026-06-08 12:42:07.450,0,0,0,0,0,0,0,0,0
2026-06-08 12:42:07.510,0,0,0,0,0,0,0,0,0
2026-06-08 12:42:07.570,0,0,0,0,0,0,0,0,0
2026-06-08 12:42:07.630,0,0,0,0,0,0,0,0,0
2026-06-08 12:42:07.690,0,0,0,0,0,0,0,0,0
2026-06-08 12:42:07.740,0,0,0,0,0,0,0,0,0
2026-06-08 12:42:07.800,0,0,0,0,0,0,0,0,0
2026-06-08 12:42:07.850,0,0,0,0,0,0,0,0,0
2026-06-08 12:42:07.910,0,0,0,0,0,0,0,0,0
2026-06-08 12:42:07.970,0,0,0,0,0,0,0,0,0
2026-06-08 12:42:08.020,0,0,0,0,0,0,0,0,0
2026-06-08 12:42:08.070,0,0,0,0,0,0,0,0,0
2026-06-08 12:42:08.131,0,0,0,0,0,0,0,0,0
2026-06-08 12:42:08.180,0,0,0,0,0,0,0,0,0
2026-06-08 12:42:08.231,0,0,0,0,0,0,0,0,0
2026-06-08 12:42:08.281,0,0,0,0,0,0,0,0,0
2026-06-08 12:42:08.341,0,0,0,0,0,0,0,0,0
2026-06-08 12:42:08.390,0,0,0,0,0,0,0,0,0
2026-06-08 12:42:08.450,0,0,0,0,0,0,0,0,0
2026-06-08 12:42:08.500,0,0,0,0,0,0,0,0,0
2026-06-08 12:42:08.550,0,0,0,0,0,0,0,0,0
2026-06-08 12:42:08.610,0,0,0,0,0,0,0,0,0
2026-06-08 12:42:08.670,0,0,0,0,0,0,0,0,0
2026-06-08 12:42:08.730,0,0,0,0,0,0,0,0,0
2026-06-08 12:42:08.781,0,0,0,0,0,0,0,0,0
2026-06-08 12:42:08.831,0,0,0,0,0,0,0,0,0
2026-06-08 12:42:08.890,0,0,0,0,0,0,0,0,0
2026-06-08 12:42:08.951,0,0,0,0,0,0,0,0,0
2026-06-08 12:42:09.011,0,0,0,0,0,0,0,0,0
2026-06-08 12:42:09.061,0,0,0,0,0,0,0,0,0
2026-06-08 12:42:09.111,0,0,0,0,0,0,0,0,0
2026-06-08 12:42:09.171,0,0,0,0,0,0,0,0,0
2026-06-08 12:42:09.241,0,0,0,0,0,0,0,0,0
2026-06-08 12:42:09.291,0,0,0,0,0,0,0,0,0
2026-06-08 12:42:09.340,0,0,0,0,0,0,0,0,0
2026-06-08 12:42:09.400,0,0,0,0,0,0,0,0,0
2026-06-08 12:42:09.451,0,0,0,0,0,0,0,0,0
2026-06-08 12:42:09.520,0,0,0,0,0,0,0,0,0
2026-06-08 12:42:09.570,0,0,0,0,0,0,0,0,0
2026-06-08 12:42:09.620,0,0,0,0,0,0,0,0,0
2026-06-08 12:42:09.680,0,0,0,0,0,0,0,0,0
2026-06-08 12:42:09.730,0,0,0,0,0,0,0,0,0
2026-06-08 12:42:09.800,0,0,0,0,0,0,0,0,0
2026-06-08 12:42:09.850,0,0,0,0,0,0,0,0,0
2026-06-08 12:42:09.901,0,0,0,0,0,0,0,0,0
2026-06-08 12:42:09.961,0,0,0,0,0,0,0,0,0
2026-06-08 12:42:10.011,0,0,0,0,0,0,0,0,0
2026-06-08 12:42:10.061,0,0,0,0,0,0,0,0,0
2026-06-08 12:42:10.111,0,0,0,0,0,0,0,0,0
2026-06-08 12:42:10.181,0,0,0,0,0,0,0,0,0
2026-06-08 12:42:10.230,0,0,0,0,0,0,0,0,0
2026-06-08 12:42:10.280,0,0,0,0,0,0,0,0,0
2026-06-08 12:42:10.341,0,0,0,0,0,0,0,0,0
2026-06-08 12:42:10.391,0,0,0,0,0,0,0,0,0
2026-06-08 12:42:10.440,0,0,0,0,0,0,0,0,0
2026-06-08 12:42:10.491,0,0,0,0,0,0,0,0,0
2026-06-08 12:42:10.560,0,0,0,0,0,0,0,0,0
2026-06-08 12:42:10.610,0,0,0,0,0,0,0,0,0
2026-06-08 12:42:10.670,0,0,0,0,0,0,0,0,0
2026-06-08 12:42:10.721,0,0,0,0,0,0,0,0,0
2026-06-08 12:42:10.770,0,0,0,0,0,0,0,0,0
2026-06-08 12:42:10.840,0,0,0,0,0,0,0,0,0
2026-06-08 12:42:10.891,0,0,0,0,0,0,0,0,0
2026-06-08 12:42:10.950,0,0,0,0,0,0,0,0,0
2026-06-08 12:42:11.000,0,0,0,0,0,0,0,0,0
2026-06-08 12:42:11.050,0,0,0,0,0,0,0,0,0
2026-06-08 12:42:11.101,0,0,0,0,0,0,0,0,0
2026-06-08 12:42:11.150,0,0,0,0,0,0,0,0,0
2026-06-08 12:42:11.220,0,0,0,0,0,0,0,0,0
2026-06-08 12:42:11.280,0,0,0,0,0,0,0,0,0
2026-06-08 12:42:11.330,0,0,0,0,0,0,0,0,0
2026-06-08 12:42:11.380,0,0,0,0,0,0,0,0,0
2026-06-08 12:42:11.440,0,0,0,0,0,0,0,0,0
2026-06-08 12:42:11.491,0,0,0,0,0,0,0,0,0
2026-06-08 12:42:11.540,0,0,0,0,0,0,0,0,0
2026-06-08 12:42:11.601,0,0,0,0,0,0,0,0,0
2026-06-08 12:42:11.650,0,0,0,0,0,0,0,0,0
2026-06-08 12:42:11.700,0,0,0,0,0,0,0,0,0
2026-06-08 12:42:11.760,0,0,0,0,0,0,0,0,0
2026-06-08 12:42:11.810,0,0,0,0,0,0,0,0,0
2026-06-08 12:42:11.861,0,0,0,0,0,0,0,0,0
2026-06-08 12:42:11.911,0,0,0,0,0,0,0,0,0
2026-06-08 12:42:11.961,0,0,0,0,0,0,0,0,0
2026-06-08 12:42:12.021,0,0,0,0,0,0,0,0,0
2026-06-08 12:42:12.071,0,0,0,0,0,0,0,0,0
2026-06-08 12:42:12.120,0,0,0,0,0,0,0,0,0
2026-06-08 12:42:12.181,0,0,0,0,0,0,0,0,0
2026-06-08 12:42:12.241,0,0,0,0,0,0,0,0,0
2026-06-08 12:42:12.300,0,0,0,0,0,0,0,0,0
2026-06-08 12:42:12.350,0,0,0,0,0,0,0,0,0
2026-06-08 12:42:12.401,0,0,0,0,0,0,0,0,0
2026-06-08 12:42:12.460,0,0,0,0,0,0,0,0,0
2026-06-08 12:42:12.520,0,0,0,0,0,0,0,0,0
2026-06-08 12:42:12.580,0,0,0,0,0,0,0,0,0
2026-06-08 12:42:12.630,0,0,0,0,0,0,0,0,0
2026-06-08 12:42:12.680,0,0,0,0,0,0,0,0,0
2026-06-08 12:42:12.740,0,0,0,0,0,0,0,0,0
2026-06-08 12:42:12.800,0,0,0,0,0,0,0,0,0
2026-06-08 12:42:12.861,0,0,0,0,0,0,0,0,0
2026-06-08 12:42:12.911,0,0,0,0,0,0,0,0,0
2026-06-08 12:42:12.961,0,0,0,0,0,0,0,0,0
2026-06-08 12:42:13.021,0,0,0,0,0,0,0,0,0
2026-06-08 12:42:13.071,0,0,0,0,0,0,0,0,0
2026-06-08 12:42:13.121,0,0,0,0,0,0,0,0,0
2026-06-08 12:42:13.171,0,0,0,0,0,0,0,0,0
2026-06-08 12:42:13.230,0,0,0,0,0,0,0,0,0
2026-06-08 12:42:13.281,0,0,0,0,0,0,0,0,0
